country,train_mse,train_r2,test_mse,test_r2,train_pearson,test_pearson
Northern Ireland,0.008783437636149503,0.9729049161650716,0.009052109921180131,0.9699958628016839,0.9863594254454465,0.9849649880165703
England,0.01825102779198995,0.9485881325701871,0.018431353934843783,0.9475894481617406,0.9739548924720217,0.9734464002790182
Ireland,0.020673175506910033,0.9557059058676076,0.022269225543546448,0.9541222268640996,0.9776021204291688,0.9767919225511497
Serbia,0.023520056291617096,0.951351154349003,0.023317548520594925,0.9492310326055056,0.9753723157589631,0.9742871125730175
Spain,0.023237911969977116,0.9563291284188576,0.023453967706897748,0.9559755841288777,0.9779208190947044,0.9777405794696281
Romania,0.006198629179758606,0.982816207078745,0.005231047061186109,0.9844579951720499,0.9913708726196999,0.9921987456607204
Australia,0.017161786157143078,0.9712193485904452,0.017034688148362752,0.9713852024681188,0.9855046162197542,0.9855893002640456
Canada,0.013962789116146856,0.9706020764825152,0.014024205426502335,0.9704330188510507,0.9851913907878584,0.9851058926709579
Austria,0.01131402389620526,0.9666039330935077,0.011719499473055998,0.9669002407903196,0.9831601767227494,0.983324115615464
Switzerland,0.015386751624212616,0.9688269139666316,0.015177745897082373,0.969737353386578,0.9842900558100907,0.9847540143780015
Slovenia,0.018617472657199804,0.9684922648099396,0.018971304879845767,0.9689579818522108,0.9841200459344072,0.9843587019679534
Sweden,0.01823616782566175,0.9598540687356356,0.018259788533852822,0.9599126424876895,0.9797214240464662,0.9797514746787808
Germany,0.023142543620965492,0.9462465258009237,0.023357311458501104,0.9453270433067331,0.9727520371610248,0.9722821094425248
France,0.016689345566547165,0.968071116620428,0.016450916156086248,0.9689481856904951,0.9839060507083122,0.9843534985250351
South Africa,0.03788473472579861,0.9521001302774241,0.04327256259422609,0.9422084913364025,0.9757561838274069,0.9707176886733836
Scotland,0.014743375716614103,0.9483430039341464,0.014961355361574055,0.9473234854981596,0.9738290424577338,0.9733108636268737
Denmark,0.014095600118098496,0.9666345194043058,0.013936540818926674,0.9669051753299549,0.9831757317002418,0.9833134880878226
Hong Kong,0.021987915730679326,0.9647658529817678,0.02364064127036134,0.9608121506926344,0.9822249502948741,0.9802671418901752
Italy,0.021846704003984044,0.9522301209809078,0.022196750695523255,0.9509201685291282,0.9758227917920895,0.9751561758984061
Russia,0.014178734947953242,0.9743036354854598,0.013399558717011135,0.9756930773416584,0.9870682020435364,0.9877729047832497
Thailand,0.010104751872712578,0.9669757697375104,0.010422238339326402,0.9642549357524702,0.9833492613194511,0.9819791292649054
Brazil,0.03222795644637575,0.9464129329757988,0.03404529954490788,0.942731791561811,0.9728375676215424,0.9709514670213129
Poland,0.025318540942608943,0.9484946370263261,0.025158668515327404,0.9482162580878123,0.9739068934073349,0.9737641857590178
Netherlands,0.020239431102376925,0.9489915766282683,0.020909044931555938,0.9469724510531552,0.9741619868524272,0.9731267394095745
Wales,0.027431948136314395,0.9614208338027374,0.038199971484781665,0.9438633513452898,0.9805206952444896,0.9718145170345658
Czech Republic,0.01731489769629983,0.9667335228593831,0.017913100802226797,0.9641199618107177,0.9832260792205336,0.9819004966463121
Belgium,0.021232013262290805,0.954051154510065,0.021393035877424294,0.9542187109340918,0.9767554220530668,0.9768430083706681
Greece,0.017863172982971826,0.9635503462666534,0.01880234350798248,0.9641811919580172,0.9816060035811993,0.9819640768913875
Norway,0.015377523409397534,0.9673931089621726,0.015441826477940101,0.9671397232155788,0.9835614413762734,0.9834338922417367
Singapore,0.018697608545050454,0.9687094653496919,0.01767439754352836,0.9624020475378843,0.9842303924131242,0.9815383031760764
Ukraine,0.020979275752916353,0.9717580744816647,0.02109127284239032,0.9707310689619428,0.9857779032224576,0.9852582744000511
China,0.010332624661729002,0.984241569179271,0.01223857230445052,0.9783531169918618,0.9920894965572769,0.9891643415774055
Philippines,0.013707706213577775,0.9788118891594856,0.01461799679845531,0.978748964076313,0.9893492250765074,0.9894677116021426
Japan,0.0160707132008269,0.9533176436469183,0.01656009600347153,0.9516935818394794,0.9763798664694586,0.9755530192566342
Finland,0.013849519401589875,0.966188451624575,0.014294417343712696,0.9655071611391367,0.982948855040065,0.9826037230633131
Taiwan,0.021038558887269392,0.9739217382834355,0.02256239415076387,0.971302182026175,0.9868747328224772,0.985548435000527
Estonia,0.01571209163090045,0.966559740987267,0.015509217591452724,0.9670307023811836,0.9831377019457994,0.9833805439656833
Mexico,0.030422508267675966,0.9380383408288453,0.03229484970988523,0.9355281904357545,0.968523794663221,0.9672304026036661
Lithuania,0.023255030240632944,0.9663098365726889,0.02408601418111186,0.962142832468995,0.9830105984030328,0.9809568359397798
Croatia,0.01363564627745736,0.9793315482791528,0.01381534068072455,0.9790493200960172,0.9896118169662045,0.9894741285763876
Portugal,0.017688593656081584,0.9653237983363969,0.016481328069009385,0.966979395208718,0.9825089304105062,0.9833726778930161
Hungary,0.02305889871374316,0.9618913972965193,0.02309254940415909,0.9610993597269111,0.9807606218117239,0.980356916906729
Bulgaria,0.024872839718825767,0.9752054964754255,0.03372365938004729,0.9662336297379948,0.9875249346094637,0.9831654720477292
Puerto Rico,0.013059941419108724,0.9838358009199722,0.02525761575874978,0.9605999310794304,0.9918849736335216,0.9801897017740986
Latvia,0.02721918182853546,0.9378700870980947,0.029710335009384144,0.9360904954712893,0.9684369298504134,0.9677985092367358
Turkey,0.01569292909537589,0.9654217697062062,0.01884468608467977,0.9588721758256167,0.9825587868958308,0.9792682258046441
Israel,0.011880042924057161,0.9728717633904034,0.012044345153515611,0.9720522231087206,0.986342619676552,0.9859291398873381
Argentina,0.02275365445368826,0.9751641813421482,0.02929155763071242,0.9656079698533334,0.9875040158612765,0.9830826043813665
Iceland,0.019086780324973636,0.9734741109834107,0.021956765374553554,0.9696777569190158,0.9866479164237925,0.9847982337128989
India,0.02706161771706173,0.9561128800345434,0.03068977034772376,0.9542503272404781,0.9778102474583417,0.977026109199045
Chile,0.017382945661275937,0.9734566314974581,0.019555597700701623,0.9706413124892898,0.9866390583680831,0.9852617317682726
Slovak Republic,0.021134817972544555,0.9587552276898496,0.02172437066952584,0.9590085251186723,0.9791604708574839,0.9792965075700357
New Zealand,0.03075963069110077,0.9469126189522018,0.031005475739117345,0.9465361123306048,0.9730943525435761,0.9729430687575344
South Korea,0.04216430074216728,0.9536976900403821,0.06857751187849853,0.9308303825328483,0.9765744672273498,0.9670883329414419
